Timestamp,Variable,Value,Frequency
2022-01-01,D1,4.965670031278149,D
2022-01-02,D1,5.342753191732532,D
2022-01-03,D1,5.546162983610214,D
2022-01-04,D1,4.966437149574084,D
2022-01-05,D1,5.492344905553908,D
2022-01-06,D1,7.476380570956909,D
2022-01-07,D1,7.218101157412528,D
2022-01-08,D1,5.198474850254891,D
2022-01-09,D1,6.76433609981145,D
2022-01-10,D1,5.298009481310343,D
2022-01-11,D1,5.2102377280914896,D
2022-01-12,D1,5.939381595745804,D
2022-01-13,D1,5.382643216949661,D
2022-01-14,D1,6.41129091019185,D
2022-01-15,D1,5.575872706258308,D
2022-01-16,D1,4.665277588528037,D
2022-01-17,D1,4.7307595866034475,D
2022-01-18,D1,4.6479901761170135,D
2022-01-19,D1,6.52236477869446,D
2022-01-20,D1,5.755429089043191,D
2022-01-21,D1,4.207774857097778,D
2022-01-22,D1,4.8682685512419335,D
2022-01-23,D1,5.246419387556864,D
2022-01-24,D1,5.140698308239132,D
2022-01-25,D1,3.7964145868125025,D
2022-01-26,D1,5.927316781765367,D
2022-01-27,D1,4.657709193127923,D
2022-01-28,D1,3.5496557561956252,D
2022-01-29,D1,5.07824175553815,D
2022-01-30,D1,4.601098027445372,D
2022-01-31,M2,52.71089578844383,ME
2022-01-31,M3,49.852710817823585,ME
2022-01-31,M1,48.91133627923777,ME
2022-01-31,D1,4.554963148477214,D
2022-02-01,D1,2.8458751892785994,D
2022-02-02,D1,5.46439919424462,D
2022-02-03,D1,5.078527812251639,D
2022-02-04,D1,3.632820005159712,D
2022-02-05,D1,5.312250607132835,D
2022-02-06,D1,3.5028647436529097,D
2022-02-07,D1,4.971815052036469,D
2022-02-08,D1,3.0298628587155343,D
2022-02-09,D1,5.036879815871692,D
2022-02-10,D1,5.242304574197704,D
2022-02-11,D1,4.539269550907531,D
2022-02-12,D1,6.207896353043935,D
2022-02-13,D1,4.932187137633131,D
2022-02-14,D1,5.540916358282803,D
2022-02-15,D1,6.682341328245725,D
2022-02-16,D1,5.954927356423538,D
2022-02-17,D1,4.677962999898584,D
2022-02-18,D1,4.510077430799108,D
2022-02-19,D1,4.797075409730983,D
2022-02-20,D1,4.046541442650933,D
2022-02-21,D1,5.33400016376425,D
2022-02-22,D1,4.427842237179523,D
2022-02-23,D1,4.936503727514841,D
2022-02-24,D1,4.3016984441079105,D
2022-02-25,D1,5.342793221087222,D
2022-02-26,D1,4.062250042096061,D
2022-02-27,D1,4.91622544463128,D
2022-02-28,M2,67.6053201363781,ME
2022-02-28,M3,57.32902807705841,ME
2022-02-28,M1,65.32961528136154,ME
2022-02-28,D1,4.790286931452456,D
2022-03-01,D1,6.222925794196166,D
2022-03-02,D1,3.4640510843232013,D
2022-03-03,D1,4.9876901416397255,D
2022-03-04,D1,3.6951425686055295,D
2022-03-05,D1,2.777550858472752,D
2022-03-06,D1,3.8432644323227745,D
2022-03-07,D1,4.101766497079458,D
2022-03-08,D1,6.0908583030523245,D
2022-03-09,D1,5.329654180482679,D
2022-03-10,D1,5.1112546142924895,D
2022-03-11,D1,5.29261648457651,D
2022-03-12,D1,4.827171315151207,D
2022-03-13,D1,5.443345782160775,D
2022-03-14,D1,5.932999123775283,D
2022-03-15,D1,6.723819722081195,D
2022-03-16,D1,3.946862312122379,D
2022-03-17,D1,4.10813766672372,D
2022-03-18,D1,3.324281062426725,D
2022-03-19,D1,4.257050922737342,D
2022-03-20,D1,5.555236976058862,D
2022-03-21,D1,4.645004346199407,D
2022-03-22,D1,6.231337121362103,D
2022-03-23,D1,3.8437321992477855,D
2022-03-24,D1,5.856525691160355,D
2022-03-25,D1,6.65231242350999,D
2022-03-26,D1,3.568176161223114,D
2022-03-27,D1,5.877330869860223,D
2022-03-28,D1,4.7687656445587905,D
2022-03-29,D1,3.853320969314359,D
2022-03-30,D1,4.565606746596208,D
2022-03-31,M2,51.1206757494146,ME
2022-03-31,D1,4.608826538812096,D
2022-03-31,Y,165.38066462084123,QE
2022-03-31,M3,48.766037897000935,ME
2022-03-31,M1,65.69607815343876,ME
2022-04-01,D1,4.622920291967686,D
2022-04-02,D1,5.54341648742971,D
2022-04-03,D1,5.531006441135011,D
2022-04-04,D1,6.8867592164105425,D
2022-04-05,D1,6.131067912399131,D
2022-04-06,D1,5.438851920341142,D
2022-04-07,D1,3.463382203704225,D
2022-04-08,D1,4.709012761952041,D
2022-04-09,D1,4.438788348338825,D
2022-04-10,D1,5.1885184395599975,D
2022-04-11,D1,5.347805471901513,D
2022-04-12,D1,4.113709754312528,D
2022-04-13,D1,3.7519385776340926,D
2022-04-14,D1,6.030773717824164,D
2022-04-15,D1,4.889355122639152,D
2022-04-16,D1,4.007126615513477,D
2022-04-17,D1,5.022497822244241,D
2022-04-18,D1,5.87171721437778,D
2022-04-19,D1,3.4363949240385314,D
2022-04-20,D1,4.006349766430765,D
2022-04-21,D1,4.064988850892569,D
2022-04-22,D1,4.5685392358540176,D
2022-04-23,D1,4.284862298023129,D
2022-04-24,D1,5.86831097688201,D
2022-04-25,D1,7.131440801277818,D
2022-04-26,D1,5.492314120220289,D
2022-04-27,D1,6.4770469097557,D
2022-04-28,D1,4.914404877729168,D
2022-04-29,D1,3.8602622148484276,D
2022-04-30,M3,49.20903130405029,ME
2022-04-30,M2,56.25430027736199,ME
2022-04-30,D1,3.920841924170303,D
2022-04-30,M1,44.38696893911303,ME
2022-05-01,D1,4.866231731560711,D
2022-05-02,D1,5.239931752654688,D
2022-05-03,D1,4.734072707668298,D
2022-05-04,D1,4.9026065649489565,D
2022-05-05,D1,3.955717611487019,D
2022-05-06,D1,3.8912529906355386,D
2022-05-07,D1,5.553855771602402,D
2022-05-08,D1,5.748648765183687,D
2022-05-09,D1,3.104331268585348,D
2022-05-10,D1,4.765106608282854,D
2022-05-11,D1,6.8445222154855365,D
2022-05-12,D1,5.087871733933851,D
2022-05-13,D1,4.504991861684109,D
2022-05-14,D1,4.105936706697214,D
2022-05-15,D1,3.2141813634122873,D
2022-05-16,D1,5.070897849916187,D
2022-05-17,D1,3.8126297953744936,D
2022-05-18,D1,5.422016013078478,D
2022-05-19,D1,5.555841256118491,D
2022-05-20,D1,3.8548726901015318,D
2022-05-21,D1,5.638964839730096,D
2022-05-22,D1,4.208605882160982,D
2022-05-23,D1,4.937915845346677,D
2022-05-24,D1,5.622740320868204,D
2022-05-25,D1,4.396691484693025,D
2022-05-26,D1,6.252465908964151,D
2022-05-27,D1,4.301213271865958,D
2022-05-28,D1,4.710791794855837,D
2022-05-29,D1,5.623088148246278,D
2022-05-30,D1,5.649874669395421,D
2022-05-31,M2,42.53791859224862,ME
2022-05-31,M3,52.61369707279667,ME
2022-05-31,D1,6.943424940948418,D
2022-05-31,M1,67.90415016744453,ME
2022-06-01,D1,6.86103569028579,D
2022-06-02,D1,4.428150746864759,D
2022-06-03,D1,4.10479708440559,D
2022-06-04,D1,4.494609372884444,D
2022-06-05,D1,6.024054944829112,D
2022-06-06,D1,5.057631661209011,D
2022-06-07,D1,4.355773014421644,D
2022-06-08,D1,4.330595849795528,D
2022-06-09,D1,3.5404797220689885,D
2022-06-10,D1,3.9714136756720055,D
2022-06-11,D1,5.8637607985444165,D
2022-06-12,D1,3.880949982437646,D
2022-06-13,D1,5.2253332718752645,D
2022-06-14,D1,4.868432080145021,D
2022-06-15,D1,5.548030486181481,D
2022-06-16,D1,4.622490275959048,D
2022-06-17,D1,5.4815591700444015,D
2022-06-18,D1,6.002624802784248,D
2022-06-19,D1,6.440853438849078,D
2022-06-20,D1,7.707211614144805,D
2022-06-21,D1,5.418785010512468,D
2022-06-22,D1,4.95610216992446,D
2022-06-23,D1,4.204549659984955,D
2022-06-24,D1,4.640531402368768,D
2022-06-25,D1,4.911342844356666,D
2022-06-26,D1,4.147123543332733,D
2022-06-27,D1,4.192180801396741,D
2022-06-28,D1,5.366643966224418,D
2022-06-29,D1,4.053658622604156,D
2022-06-30,M3,55.22054862672979,ME
2022-06-30,M1,66.91150309671804,ME
2022-06-30,M2,42.16325508432296,ME
2022-06-30,D1,5.369283171449772,D
2022-06-30,Y,202.15910012561753,QE
2022-07-01,D1,5.547840270756579,D
2022-07-02,D1,2.9613224815246215,D
2022-07-03,D1,5.660773586205227,D
2022-07-04,D1,5.145346354629918,D
2022-07-05,D1,6.698987051328226,D
2022-07-06,D1,4.486842124565842,D
2022-07-07,D1,4.612248620734826,D
2022-07-08,D1,3.910997038146677,D
2022-07-09,D1,5.75006116352638,D
2022-07-10,D1,5.2547962402626025,D
2022-07-11,D1,4.846514104277412,D
2022-07-12,D1,4.20243660642904,D
2022-07-13,D1,4.909581614427434,D
2022-07-14,D1,5.191285270128669,D
2022-07-15,D1,5.646811398433451,D
2022-07-16,D1,5.52200886154648,D
2022-07-17,D1,6.5676688947380875,D
2022-07-18,D1,3.2711474244284195,D
2022-07-19,D1,3.50559811013083,D
2022-07-20,D1,6.303657486944666,D
2022-07-21,D1,3.9509851117011,D
2022-07-22,D1,4.943885375908937,D
2022-07-23,D1,5.488086385725681,D
2022-07-24,D1,6.93400452453524,D
2022-07-25,D1,4.38220809026644,D
2022-07-26,D1,3.830789035591838,D
2022-07-27,D1,6.766336517353391,D
2022-07-28,D1,4.349271617381442,D
2022-07-29,D1,4.907683542942086,D
2022-07-30,D1,4.556174545507129,D
2022-07-31,M2,40.0273905653183,ME
2022-07-31,D1,4.638099924818972,D
2022-07-31,M3,35.61000367941108,ME
2022-07-31,M1,39.046840860285954,ME
2022-08-01,D1,5.134254776733369,D
2022-08-02,D1,4.998952979237758,D
2022-08-03,D1,3.658110409812138,D
2022-08-04,D1,5.463082107086674,D
2022-08-05,D1,5.817754481716327,D
2022-08-06,D1,3.6485456240303744,D
2022-08-07,D1,3.904052609597419,D
2022-08-08,D1,5.672043467508371,D
2022-08-09,D1,5.3145267431684955,D
2022-08-10,D1,3.0676812117264505,D
2022-08-11,D1,3.932028250409066,D
2022-08-12,D1,4.146787181507614,D
2022-08-13,D1,4.04565223759394,D
2022-08-14,D1,6.68279143681399,D
2022-08-15,D1,5.262752177801051,D
2022-08-16,D1,5.6766943137259736,D
2022-08-17,D1,5.437071641656754,D
2022-08-18,D1,4.696593607031559,D
2022-08-19,D1,4.315216499879378,D
2022-08-20,D1,6.4735747748278865,D
2022-08-21,D1,3.696350657868743,D
2022-08-22,D1,5.0492233699703375,D
2022-08-23,D1,5.628297347033692,D
2022-08-24,D1,5.371073396624262,D
2022-08-25,D1,4.548761455098792,D
2022-08-26,D1,6.3143391291258615,D
2022-08-27,D1,6.499184181176533,D
2022-08-28,D1,4.0425921805085805,D
2022-08-29,D1,5.415085609518458,D
2022-08-30,D1,5.2157743237011065,D
2022-08-31,D1,5.949439739009064,D
2022-08-31,M3,53.084670586710445,ME
2022-08-31,M1,44.15604901117155,ME
2022-08-31,M2,42.028328945725036,ME
2022-09-01,D1,5.011445136053421,D
2022-09-02,D1,4.4981500704094195,D
2022-09-03,D1,4.5865585967953635,D
2022-09-04,D1,5.463442416612775,D
2022-09-05,D1,4.6591752074467205,D
2022-09-06,D1,3.8646121313928683,D
2022-09-07,D1,5.669824879434737,D
2022-09-08,D1,6.230960695087627,D
2022-09-09,D1,5.4253164683814745,D
2022-09-10,D1,5.403211985267928,D
2022-09-11,D1,5.298327342111127,D
2022-09-12,D1,5.2186718214349135,D
2022-09-13,D1,5.933594470600323,D
2022-09-14,D1,3.9971352462281846,D
2022-09-15,D1,3.6602113888022756,D
2022-09-16,D1,3.095822596988648,D
2022-09-17,D1,3.97241918178221,D
2022-09-18,D1,5.545986217277455,D
2022-09-19,D1,5.15547527650211,D
2022-09-20,D1,6.678211678885004,D
2022-09-21,D1,4.715681666227725,D
2022-09-22,D1,5.914956580878548,D
2022-09-23,D1,4.489374856053676,D
2022-09-24,D1,3.6744692192471198,D
2022-09-25,D1,4.620552025310756,D
2022-09-26,D1,4.218924036170109,D
2022-09-27,D1,5.389987109451509,D
2022-09-28,D1,3.485803281268227,D
2022-09-29,D1,4.684184709120313,D
2022-09-30,M1,38.55431456825052,ME
2022-09-30,D1,4.397938466152085,D
2022-09-30,Y,156.88063221542052,QE
2022-09-30,M3,58.482430025391665,ME
2022-09-30,M2,48.72411419290898,ME
2022-10-01,D1,5.047098974312231,D
2022-10-02,D1,4.299186872905933,D
2022-10-03,D1,4.628218869542944,D
2022-10-04,D1,5.110727015336444,D
2022-10-05,D1,4.117162426842877,D
2022-10-06,D1,5.173345910261177,D
2022-10-07,D1,5.636029481795169,D
2022-10-08,D1,4.776486599034488,D
2022-10-09,D1,3.9177296202070666,D
2022-10-10,D1,4.969167465666537,D
2022-10-11,D1,5.328870162526218,D
2022-10-12,D1,4.4303114788152484,D
2022-10-13,D1,4.992820551737797,D
2022-10-14,D1,4.791024544284892,D
2022-10-15,D1,3.782554063923741,D
2022-10-16,D1,5.292813100767831,D
2022-10-17,D1,4.487543216340667,D
2022-10-18,D1,5.680036700995386,D
2022-10-19,D1,4.784777366462244,D
2022-10-20,D1,5.1540012554402574,D
2022-10-21,D1,5.64663186097453,D
2022-10-22,D1,6.5196300961968365,D
2022-10-23,D1,3.7572122301585846,D
2022-10-24,D1,2.74934976120787,D
2022-10-25,D1,4.934705960967608,D
2022-10-26,D1,4.066008853256852,D
2022-10-27,D1,6.185875777606237,D
2022-10-28,D1,2.7974624736132365,D
2022-10-29,D1,4.923922313444827,D
2022-10-30,D1,5.734263234748234,D
2022-10-31,M3,42.974824583151204,ME
2022-10-31,M2,60.573957286596844,ME
2022-10-31,D1,5.125197960522023,D
2022-10-31,M1,45.135194752454645,ME
2022-11-01,D1,4.237506247176957,D
2022-11-02,D1,4.642122938091105,D
2022-11-03,D1,5.9230456242746765,D
2022-11-04,D1,3.3516388217059547,D
2022-11-05,D1,3.225941998892811,D
2022-11-06,D1,4.726797565810676,D
2022-11-07,D1,6.217574435541147,D
2022-11-08,D1,5.229652802250548,D
2022-11-09,D1,6.6398675149817095,D
2022-11-10,D1,3.3758016460518463,D
2022-11-11,D1,3.9668806456983896,D
2022-11-12,D1,5.752759000337418,D
2022-11-13,D1,4.649961982405093,D
2022-11-14,D1,5.760443646636568,D
2022-11-15,D1,4.835877751103162,D
2022-11-16,D1,4.522321187429567,D
2022-11-17,D1,2.6264531885852236,D
2022-11-18,D1,3.898699677166732,D
2022-11-19,D1,7.07686121881685,D
2022-11-20,D1,5.068740756172164,D
2022-11-21,D1,4.6304444489007714,D
2022-11-22,D1,3.35452513762357,D
2022-11-23,D1,5.662638418672952,D
2022-11-24,D1,4.510275340036716,D
2022-11-25,D1,3.9716684856470676,D
2022-11-26,D1,6.752376752604837,D
2022-11-27,D1,5.034057314639607,D
2022-11-28,D1,5.491473947142596,D
2022-11-29,D1,4.940940973659457,D
2022-11-30,D1,5.6492378447957705,D
2022-11-30,M3,45.497953887982156,ME
2022-11-30,M2,40.85995193566286,ME
2022-11-30,M1,44.618139434997005,ME
2022-12-01,D1,4.382451275596386,D
2022-12-02,D1,5.015574531903084,D
2022-12-03,D1,4.644019556899072,D
2022-12-04,D1,5.128709995936617,D
2022-12-05,D1,5.340017763636592,D
2022-12-06,D1,5.398190762991757,D
2022-12-07,D1,5.128127435673117,D
2022-12-08,D1,5.17775740462842,D
2022-12-09,D1,4.696848339045624,D
2022-12-10,D1,4.808175004640236,D
2022-12-11,D1,4.033845419443437,D
2022-12-12,D1,2.609192974421729,D
2022-12-13,D1,4.6886508170184165,D
2022-12-14,D1,5.288292541470589,D
2022-12-15,D1,4.430907417666577,D
2022-12-16,D1,6.292923326106721,D
2022-12-17,D1,4.039590769220473,D
2022-12-18,D1,4.969691721703717,D
2022-12-19,D1,3.8087640269567586,D
2022-12-20,D1,4.485977298093916,D
2022-12-21,D1,5.392246464783641,D
2022-12-22,D1,5.919633972875686,D
2022-12-23,D1,5.428560087450041,D
2022-12-24,D1,3.856398968313189,D
2022-12-25,D1,5.190536073595515,D
2022-12-26,D1,3.6527134026691463,D
2022-12-27,D1,7.030389010043313,D
2022-12-28,D1,5.052971299030627,D
2022-12-29,D1,5.149368512076842,D
2022-12-30,D1,5.493038063927306,D
2022-12-31,D1,6.023291745003765,D
2022-12-31,M1,60.05486285834443,ME
2022-12-31,M2,27.932221460114942,ME
2022-12-31,M3,63.06320261019401,ME
2022-12-31,Y,202.25305653606247,QE
